Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1257,2513,50,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,375,750,50,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD,Кравченко Алексей Владимирович,Корона-Принт,329,658,50,На складе
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,2233,4466,50,На складе
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,1257,2513,50,На складе
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2094,4187,50,На складе
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,488,976,50,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,1186,2372,50,На складе
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,1399,2797,50,На складе
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,1186,2372,50,На складе
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,1257,2513,50,На складе
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,1535,3069,50,На складе
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,3405,6810,50,Ограничено
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,628,1256,50,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1535,3069,50,На складе
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,1047,2093,50,На складе
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,1326,2652,50,На складе
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,1117,2233,50,На складе
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,1257,2513,50,На складе
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,1745,3489,50,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,1954,3908,50,Ограничено
